track_id,genre_top
2,Hip-Hop
3,Hip-Hop
5,Hip-Hop
10,Pop
20,nan
26,nan
30,nan
46,nan
48,nan
134,Hip-Hop
135,Rock
136,Rock
137,Experimental
138,Experimental
139,Folk
140,Folk
141,Folk
142,Folk
144,Jazz
145,Jazz
146,Jazz
147,Jazz
148,Experimental
149,Experimental
150,Experimental
151,Rock
152,Rock
153,Rock
154,Rock
155,Rock
156,Experimental
157,Experimental
158,Experimental
159,Experimental
160,Experimental
161,Experimental
162,Experimental
163,Experimental
164,Experimental
165,Experimental
166,Experimental
167,Experimental
168,Experimental
169,Rock
170,Rock
171,Rock
172,Rock
173,Rock
174,Rock
175,Rock
176,Rock
177,Rock
178,Rock
179,Rock
181,Rock
182,Rock
183,Rock
184,Rock
185,nan
188,Folk
189,Folk
190,Folk
191,Folk
192,Folk
193,Folk
194,Folk
195,Folk
196,Folk
197,Folk
198,Folk
199,Folk
200,Folk
201,Folk
202,Folk
203,Folk
204,Folk
205,Folk
206,Folk
207,Folk
208,Folk
209,Folk
210,Folk
211,Folk
212,Folk
213,Pop
226,Rock
228,Rock
236,nan
237,Jazz
238,Jazz
246,nan
247,Rock
248,nan
249,Rock
250,nan
251,nan
252,Rock
253,nan
254,nan
255,Rock
256,Rock
257,Rock
258,Rock
273,Experimental
274,Experimental
275,Experimental
276,Experimental
277,Experimental
281,Experimental
282,Experimental
284,Experimental
285,Experimental
293,Experimental
294,Experimental
297,Experimental
300,Experimental
303,Rock
304,Rock
305,Rock
306,Rock
307,Rock
308,Rock
309,Rock
310,Rock
311,Rock
312,Rock
313,Rock
314,Rock
315,Rock
316,Rock
317,Rock
318,Rock
319,Rock
320,Rock
321,Rock
322,Rock
323,Rock
324,Rock
325,Rock
326,Rock
327,Rock
328,Rock
330,Rock
331,Rock
332,Rock
333,Rock
334,Rock
335,Rock
336,Rock
337,Rock
338,Rock
339,Rock
340,Rock
341,Rock
342,Rock
343,Rock
344,Rock
345,Rock
346,Rock
347,Rock
348,Rock
349,Rock
350,Rock
351,Rock
352,Rock
353,Rock
354,Rock
355,Rock
356,Rock
357,Rock
358,Rock
359,Rock
360,Rock
361,Rock
362,Rock
363,Rock
364,Rock
365,Rock
366,Rock
367,Rock
368,Rock
369,Rock
370,Rock
371,Rock
384,Electronic
385,Electronic
386,Electronic
387,Electronic
393,Rock
394,Rock
395,Rock
396,Electronic
397,Electronic
398,Electronic
399,Electronic
400,Electronic
401,Electronic
402,Electronic
403,Electronic
404,Electronic
405,Electronic
406,Electronic
407,Electronic
408,Electronic
410,Electronic
411,Electronic
412,Electronic
414,Electronic
416,Electronic
417,Experimental
418,nan
419,Experimental
420,nan
421,Experimental
422,nan
423,nan
424,Experimental
425,Experimental
426,Experimental
427,Experimental
428,Experimental
